path,methods,module,params,files
"/api/auth/partner/partnerapp/ownerpartnerapp","GET","auth","unique_uid","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/auth/partner/partnerapp/ownerunbind","DELETE","auth","e","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js"
"/api/auth/partner/partnerapp/resetsecret","PUT","auth","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/auth/partner/partnerapp/unbind","DELETE","auth","e|unique_uid","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/auth/partner/partnerappbind","GET","auth","","001c3aa82e__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js;001c3aa82e37__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js.js;edt_auth_index.js"
"/api/auth/partner/partnerappbindlist","GET","auth","unique_uid","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js;e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/auth/partner/partnerbind","GET","auth","","fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;xiumius_home_index.js"
"/api/auth/partnerinfo","GET","auth","","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/auth/register_phone","POST","auth","","001c3aa82e__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js;001c3aa82e37__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js.js;edt_auth_index.js"
"/api/auth/reset_password","POST","auth","area_code|code|password|phone","001c3aa82e__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js;001c3aa82e37__edt.xiumius.cn_scripts_app_auth_d4a63b.index.min.js.js;edt_auth_index.js"
