module,path,methods,verified,probe_status,params,query
"show_goods","/api/show_goods/tags_tree","GET","live","400","show_goods|show_type|tag_level_from|tag_level_to","show_goods|show_type|tag_level_from|tag_level_to"
"show_goods","/api/show_goods/tpl_goods/bought/state","GET","probe","200","n",""
"show_goods","/api/show_goods/tpl_goods/count","GET","live","200","utc_ticks",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags","GET","probe","404","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/{param}/{param2}/show_goods","GET","bundle","","limit|page",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/{param}/order","GET|POST","bundle","","order",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/{param}/tagorder","GET","bundle","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/{show_type}/{param}/tags","DELETE","bundle","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/paper/order","POST","live","","order",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/paper/tagorder","GET","live","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/rename","POST","bundle","","new_tag|old_tag|show_type",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/show_goods/{show_goods_id}/{show_goods_id2}","GET","bundle","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/show_goods/{show_goods_id}/{show_goods_id2}/{show_goods_id3}","DELETE","bundle","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/show_type/{param}","GET","bundle","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/show_type/{param}/{param2}","DELETE","bundle","","",""
"show_goods_favorite_tags","/api/show_goods_favorite_tags/state/read","POST","bundle","","state",""
"show_goods_favorites","/api/show_goods_favorites","GET","live","200","","limit|page|search|show_type"
"show_goods_favorites","/api/show_goods_favorites/{param}","DELETE","bundle","","",""
"show_goods_favorites","/api/show_goods_favorites/is_favorite/{param}","GET","bundle","","",""
"show_save_to_records","/api/show_save_to_records","GET","probe","200","limit|page|search|search_area",""
"show_save_to_records","/api/show_save_to_records/count","GET","probe","200","limit|page|search|search_area",""
"shows","/api/shows","DELETE|GET|POST|PUT","probe","200","enableFullTextSearch|include|limit|offset|page|pattern_fragment|preview_for|reverse|search|show_type|sort_by|tag|team_id|to|version",""
"shows","/api/shows/{show_id}","DELETE","bundle","","",""
"shows","/api/shows/by/pattfrag-tags","GET","probe","200","limit|page|show_type|sort_by|team_id",""
"shows","/api/shows/by/tags","GET","probe","200","enableFullTextSearch|limit|offset|page|pattern_fragment|reverse|search|show_type|sort_by|team_id",""
